-1.#IND00 ± -1.#IND00, -1.#IND00 ± -1.#IND00, -1.#IND00 ± -1.#IND00, -1.#IND00 ± -1.#IND00
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.050000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001900 ± 0.000500, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001900 ± 0.000500, 0.037000 ± 0.005000, 0.006000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000500, 0.037000 ± 0.005000, 0.006000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000500, 0.037000 ± 0.005000, 0.006000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.006000 ± 0.003000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000400, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000700, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001900 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000600, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.040000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.005000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
0.001800 ± 0.000500, 0.037000 ± 0.004000, 0.007000 ± 0.004000, 0.110000 ± 0.050000
